slice,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1317.0,13419856.872814141,11057.49441016838,105.50052734625729,423435457.43405545,3130.0672127061316,3.539901549748085e+38,2.0369673426894183e+37,1.2291010180591778e+34,0.08771606566262513,0.18664595991442015,0.003388869082569003,3.737183474588228e-05
1318.0,13419959.482846888,10954.884377421811,102.61003274554858,425375225.50073606,3129.753928071575,3.628734958323085e+38,2.1025300495939095e+37,1.3078404297186901e+34,0.08774025673227578,0.18664678650605654,0.0033888910385520667,3.737408650765904e-05
1319.0,13420067.22338127,10847.14384303987,107.74053438282601,427373205.0952541,3129.329283366063,3.718131194800751e+38,2.1717524016872036e+37,1.3868539813194886e+34,0.0877679065768163,0.18664769943496273,0.0033889143756544154,3.73763364121464e-05
1320.0,13420180.350942371,10734.01628193818,113.12756110196732,429430635.6875696,3128.2363942242023,3.808187886415951e+38,2.2448539808859256e+37,1.472309151877276e+34,0.08779943368196885,0.18664871040573933,0.0033889391481766017,3.7378575656038585e-05
1321.0,13420290.460524855,10623.906699454412,110.10958248283882,431397695.3582114,3128.1069183913987,3.892082355566333e+38,2.316467570262594e+37,1.5647715952318748e+34,0.08783248043033638,0.18664974681354335,0.0033889634693199957,3.738064175865346e-05
1322.0,13420406.075586462,10508.2916378472,115.61506160698076,433421593.16025615,3128.0353306070306,3.975992334264852e+38,2.3920043711192227e+37,1.6575983046284717e+34,0.08786974613791089,0.1866508959541148,0.0033889891882184536,3.738268981640653e-05
1323.0,13420527.47140115,10386.895823160186,121.3958146873298,435507879.93277186,3128.0248657834827,4.059160415255705e+38,2.4718231956301767e+37,1.7577603695934653e+34,0.08791163395664384,0.18665217404104212,0.003389016355037662,3.7384715816470375e-05
1324.0,13420645.666837845,10268.700386464596,118.19543669648628,437501522.1651397,3128.0734923164196,4.134591199086507e+38,2.5500027369126904e+37,1.8661437312163316e+34,0.08795494286264603,0.18665348925570818,0.0033890428947540253,3.73865747434131e-05
1325.0,13420769.772046378,10144.595177931711,124.10520853131061,439558110.0678975,3128.186376624448,4.2085020803253425e+38,2.6326238042475404e+37,1.974753478914286e+34,0.08800305901139122,0.18665495222888173,0.0033890708095510487,3.7388399376251114e-05
1326.0,13420900.082515335,10014.284708974883,130.31046895787614,441688492.5515707,3128.3691342952648,4.277150365945837e+38,2.720269196727373e+37,2.0920958998304475e+34,0.08805630526507806,0.1866565833286174,0.0033891001256841267,3.7390179340142515e-05
